id1,id2,Length,Loading,Cost,Geom
19022.0,18085.0,331280.393,-0.142,3312803.93366285,"MULTILINESTRING ((1103495.905130481 312849.8469419308, 1103459.002568035 312864.8444817858), (1103459.002568035 312864.8444817858, 1103428.991435038 312878.980743982), (1103428.991435038 312878.980743982, 1103391.480300606 312896.0601080383), (1103391.480300606 312896.0601080383, 1103328.491759963 312920.3076209228), (1103328.491759963 312920.3076209228, 1103299.252242613 312929.5335881133), (1103299.252242613 312929.5335881133, 1103250.06431661 312942.2401876447), (1103250.06431661 312942.2401876447, 1103184.796505825 312961.6469319587))"
18085.0,20309.0,222668.694,0.001,2226686.9397495603,"MULTILINESTRING ((1103184.796505825 312961.6469319587, 1103179.727061598 312984.4884713822), (1103179.727061598 312984.4884713822, 1103171.592243924 313001.6079634602), (1103171.592243924 313001.6079634602, 1103166.804111498 313015.6279052524), (1103151.160418337 313009.5753520353, 1103144.144197363 313019.5140062925), (1103151.160418337 313009.5753520353, 1103166.804111498 313015.6279052524), (1103144.144197363 313019.5140062925, 1103141.208847123 313034.5368422637), (1103141.208847123 313034.5368422637, 1103127.946016824 313061.2854159626), (1103127.946016824 313061.2854159626, 1103127.748900899 313120.0372572143), (1103127.748900899 313120.0372572143, 1103149.643892821 313144.2546542116))"
16775.0,16776.0,35143.136,0.001,351431.3569733,"MULTILINESTRING ((1102888.48232466 310978.9437750315, 1102860.972436441 311000.64006079))"
16775.0,19706.0,418349.56,0.004,4183495.596775329,"MULTILINESTRING ((1102888.48232466 310978.9437750315, 1102920.188822411 310982.5806657477), (1102920.188822411 310982.5806657477, 1102933.798877209 310981.7968514474), (1102933.798877209 310981.7968514474, 1102966.308427889 310989.8487736034), (1102966.308427889 310989.8487736034, 1102989.566143753 311011.352295745), (1102989.566143753 311011.352295745, 1103011.560942774 311034.7857411772), (1103011.560942774 311034.7857411772, 1103024.724352158 311061.7147414937), (1103024.724352158 311061.7147414937, 1103046.466024314 311077.171343433), (1103046.466024314 311077.171343433, 1103072.884259698 311097.1819333117), (1103072.884259698 311097.1819333117, 1103097.076506563 311118.9504639544), (1103097.076506563 311118.9504639544, 1103134.2424561 311131.8728250354), (1103134.2424561 311131.8728250354, 1103170.068715272 311143.104509226), (1103170.068715272 311143.104509226, 1103189.900247466 311164.8528744869), (1103189.900247466 311164.8528744869, 1103175.709561965 311166.8995137726), (1103175.709561965 311166.8995137726, 1103189.25904821 311182.5915036561))"
19706.0,16579.0,699224.237,0.003,6992242.370436973,"MULTILINESTRING ((1103745.034369813 311156.8758780871, 1103718.910670247 311172.1570506321), (1103718.910670247 311172.1570506321, 1103694.902773342 311159.0348997005), (1103694.902773342 311159.0348997005, 1103663.630876242 311174.5992840317), (1103663.630876242 311174.5992840317, 1103633.786948452 311180.9102031274), (1103633.786948452 311180.9102031274, 1103602.919643993 311161.7441600796), (1103602.919643993 311161.7441600796, 1103581.439873608 311140.2485334047), (1103581.439873608 311140.2485334047, 1103555.025397297 311117.3898671904), (1103555.025397297 311117.3898671904, 1103527.163186743 311110.0665386228), (1103527.163186743 311110.0665386228, 1103494.467193421 311107.8673398697), (1103494.467193421 311107.8673398697, 1103466.591668997 311095.35089107), (1103466.591668997 311095.35089107, 1103457.53303667 311153.8473496431), (1103203.52036815 311182.0773657101, 1103233.207827239 311165.0724201043), (1103203.52036815 311182.0773657101, 1103189.25904821 311182.5915036561), (1103233.207827239 311165.0724201043, 1103257.327417991 311144.0118879814), (1103257.327417991 311144.0118879814, 1103273.74263814 311109.4303783799), (1103273.74263814 311109.4303783799, 1103301.327384649 311109.9771513139), (1103301.327384649 311109.9771513139, 1103332.015738877 311123.3255708072), (1103332.015738877 311123.3255708072, 1103362.55990158 311135.4820978682), (1103362.55990158 311135.4820978682, 1103397.210924982 311147.918286749), (1103397.210924982 311147.918286749, 1103457.53303667 311153.8473496431))"
16579.0,19673.0,158055.19,0.001,1580551.8994296119,"MULTILINESTRING ((1103745.034369813 311156.8758780871, 1103767.971197499 311144.5064034479), (1103838.029832501 311081.0226097652, 1103819.365459226 311101.570986173), (1103794.515102091 311092.7169090798, 1103784.687243536 311106.3804725697), (1103794.515102091 311092.7169090798, 1103819.365459226 311101.570986173), (1103784.687243536 311106.3804725697, 1103765.33437104 311106.9039832887), (1103765.33437104 311106.9039832887, 1103775.582859041 311130.4471762672), (1103775.582859041 311130.4471762672, 1103767.971197499 311144.5064034479))"
16775.0,15925.0,648317.817,-0.005,6483178.16625161,"MULTILINESTRING ((1102986.794805113 310401.4080331379, 1102989.160106703 310381.6705186052), (1102986.794805113 310401.4080331379, 1102985.187604084 310433.2568495591), (1102985.187604084 310433.2568495591, 1102982.618901999 310470.6572136343), (1102982.618901999 310470.6572136343, 1102962.070042875 310494.6567226698), (1102962.070042875 310494.6567226698, 1102941.294578495 310519.0925782134), (1102941.294578495 310519.0925782134, 1102924.018727519 310555.7175492833), (1102924.018727519 310555.7175492833, 1102907.605334232 310592.0114614334), (1102907.605334232 310592.0114614334, 1102889.673108617 310622.8540146206), (1102889.673108617 310622.8540146206, 1102881.16053297 310650.4735747794), (1102881.16053297 310650.4735747794, 1102890.062460842 310694.3950152156), (1102890.062460842 310694.3950152156, 1102903.577025066 310887.9866618933), (1102903.577025066 310887.9866618933, 1102912.921134246 310923.2830564002), (1102912.921134246 310923.2830564002, 1102904.169327861 310952.0182620033), (1102904.169327861 310952.0182620033, 1102888.48232466 310978.9437750315))"
19341.0,19375.0,144117.751,0.002,1441177.5107748655,"MULTILINESTRING ((1103403.604025394 309710.038214302, 1103524.628001794 309788.2886028762))"
19341.0,19474.0,604537.778,-0.002,6045377.77818658,"MULTILINESTRING ((1103403.604025394 309710.038214302, 1103356.565226792 309787.0373708066), (1103356.565226792 309787.0373708066, 1103377.233589297 309820.0264608468), (1103377.233589297 309820.0264608468, 1103345.058491581 309863.7654269222), (1103345.058491581 309863.7654269222, 1103296.121904543 309886.4234204712), (1103296.121904543 309886.4234204712, 1103097.985300322 309886.7599642327), (1103097.985300322 309886.7599642327, 1103008.749867942 310030.2984306346))"
19474.0,19481.0,63955.973,-0.003,639559.7266374485,"MULTILINESTRING ((1103008.749867942 310030.2984306346, 1102945.62467768 310040.5734875053))"
