ID1,ID2,Length,Cost,Cluster,geometry,Conn_param
16658,16659,40.644357517311,406443.57517311,1,"LINESTRING (1100564.947792353 311309.9198780676, 1100561.887385047 311269.5261507689)",44
16659,16660,30.829428150909,308294.28150909,1,"LINESTRING (1100561.887385047 311269.5261507689, 1100572.115473678 311243.1438149383)",44
16660,16661,31.490655711415002,314906.55711415,1,"LINESTRING (1100572.115473678 311243.1438149383, 1100575.316482113 311214.6351103602)",44
16661,16662,30.624589945874,306245.89945874,1,"LINESTRING (1100575.316482113 311214.6351103602, 1100588.531197138 311187.9129247323)",44
16662,16663,32.536786603706,325367.86603706,1,"LINESTRING (1100588.531197138 311187.9129247323, 1100596.581520652 311156.9232451536)",44
16663,16664,30.517125850548,305171.25850547996,1,"LINESTRING (1100596.581520652 311156.9232451536, 1100579.730567922 311134.1941166624)",44
16664,19695,21.661938768892696,216619.38768892697,1,"LINESTRING (1100579.730567922 311134.1941166624, 1100600.067164671 311126.7333912356)",44
16680,16681,33.645521534503004,336455.21534503007,1,"LINESTRING (1100983.519625849 312118.8562239463, 1101001.372844147 312090.824801259)",54
16680,19046,44.587713875668996,445877.13875668996,1,"LINESTRING (1100983.519625849 312118.8562239463, 1100946.108241485 312094.5981830391)",66
16680,19045,76.838402212842,768384.02212842,1,"LINESTRING (1100983.519625849 312118.8562239463, 1101045.641510976 312163.9074187301)",53
16681,16682,41.508610152916,415086.10152916,1,"LINESTRING (1101001.372844147 312090.824801259, 1101025.400525793 312057.0707232502)",54
16682,16683,37.475928283927,374759.28283926996,1,"LINESTRING (1101025.400525793 312057.0707232502, 1101045.27361372 312025.2982122998)",54
16683,16684,35.594973205555,355949.73205555,1,"LINESTRING (1101045.27361372 312025.2982122998, 1101064.92164642 311995.6464713435)",54
16684,16685,31.585764214888,315857.64214888,1,"LINESTRING (1101064.92164642 311995.6464713435, 1101081.095581741 311968.5378366337)",54
16685,16686,37.217846524835004,372178.46524835005,1,"LINESTRING (1101081.095581741 311968.5378366337, 1101101.237404678 311937.3342103433)",54
16686,16687,37.827371866974,378273.71866973996,1,"LINESTRING (1101101.237404678 311937.3342103433, 1101114.345395026 311903.4456811131)",54
16687,16688,35.06302194478,350630.21944779996,1,"LINESTRING (1101114.345395026 311903.4456811131, 1101139.543575465 311879.6174169556)",54
16688,16689,33.854984531076,338549.84531075996,1,"LINESTRING (1101139.543575465 311879.6174169556, 1101152.82555499 311848.5680826511)",54
16689,16690,39.703314289172,397033.14289172,1,"LINESTRING (1101152.82555499 311848.5680826511, 1101177.212499619 311818.0634285056)",54
16690,16740,475.7170871039771,4757170.8710397715,1,"LINESTRING (1101177.212499619 311818.0634285056, 1101536.97786485 311506.8149281986)",54
16693,16694,30.922697447023,309226.97447023,1,"LINESTRING (1102161.366487314 311312.3566782204, 1102187.617173499 311299.7936701954)",38
16693,16759,32.605471064285,326054.71064284997,1,"LINESTRING (1102161.366487314 311312.3566782204, 1102129.161842235 311307.2657461247)",38
16694,16695,32.699907619508004,326999.07619508,1,"LINESTRING (1102187.617173499 311299.7936701954, 1102212.078759894 311281.5547547211)",38
16695,16696,30.653182324933002,306531.82324933005,1,"LINESTRING (1102212.078759894 311281.5547547211, 1102240.880432028 311273.8335923507)",38
16696,16697,32.710028060602994,327100.28060602996,1,"LINESTRING (1102240.880432028 311273.8335923507, 1102271.697712549 311271.3799043649)",38
16697,16698,30.344012568659,303440.12568659,1,"LINESTRING (1102271.697712549 311271.3799043649, 1102301.473121528 311269.6100693464)",38
16698,16699,33.331975174915996,333319.75174915994,1,"LINESTRING (1102301.473121528 311269.6100693464, 1102333.788860149 311264.8832578127)",38
16699,16700,40.958165096337,409581.65096337,1,"LINESTRING (1102333.788860149 311264.8832578127, 1102373.233666038 311254.4474127172)",38
16700,16701,30.938753775000002,309387.53775,1,"LINESTRING (1102373.233666038 311254.4474127172, 1102403.558468789 311249.2367499133)",38
16701,16702,33.998552620796,339985.52620796,1,"LINESTRING (1102403.558468789 311249.2367499133, 1102437.35643436 311245.7452685285)",38
16702,16703,33.763107262299,337631.07262299,1,"LINESTRING (1102437.35643436 311245.7452685285, 1102471.078732032 311246.46926805)",39
16703,16704,30.525338705268,305253.38705267996,1,"LINESTRING (1102471.078732032 311246.46926805, 1102501.589651896 311245.5311464509)",39
16704,16705,31.583804987878,315838.04987878003,1,"LINESTRING (1102501.589651896 311245.5311464509, 1102532.876835649 311246.709197972)",39
16705,16706,31.527705194981998,315277.05194981996,1,"LINESTRING (1102532.876835649 311246.709197972, 1102563.309841523 311254.5095069199)",39
16706,16707,31.404117716674,314041.17716674,1,"LINESTRING (1102563.309841523 311254.5095069199, 1102594.375779327 311259.0089650214)",39
16707,16708,34.788270656072996,347882.70656072994,1,"LINESTRING (1102594.375779327 311259.0089650214, 1102609.937113477 311232.9392126582)",39
16708,16709,43.085815360946,430858.15360946,1,"LINESTRING (1102609.937113477 311232.9392126582, 1102621.732641835 311191.5707507467)",39
16709,16710,87.931071404795,879310.7140479501,1,"LINESTRING (1102621.732641835 311191.5707507467, 1102642.855856576 311106.2351478254)",39
16710,16711,41.958861015705,419588.61015704996,1,"LINESTRING (1102642.855856576 311106.2351478254, 1102648.887348879 311064.7654855923)",39
16711,16712,178.03873039007001,1780387.3039007,1,"LINESTRING (1102648.887348879 311064.7654855923, 1102655.484392924 310887.0607988649)",39
16712,16713,49.402373870058,494023.73870057997,1,"LINESTRING (1102655.484392924 310887.0607988649, 1102654.215831254 310837.6747148403)",39
16713,16714,59.52135053456,595213.5053456,1,"LINESTRING (1102654.215831254 310837.6747148403, 1102649.699380048 310778.3249647316)",39
16714,16715,64.70632232246,647063.2232246,1,"LINESTRING (1102649.699380048 310778.3249647316, 1102651.037576387 310713.6324815589)",40
16715,16716,56.669839727389004,566698.3972738901,1,"LINESTRING (1102651.037576387 310713.6324815589, 1102651.908089961 310656.9693282682)",40
16716,16717,51.186929270791,511869.29270791,1,"LINESTRING (1102651.908089961 310656.9693282682, 1102646.444631988 310606.0748064102)",40
16717,16718,39.633337003324996,396333.37003324996,1,"LINESTRING (1102646.444631988 310606.0748064102, 1102644.241452107 310566.5027531349)",40
16718,16719,30.977261033890002,309772.6103389,1,"LINESTRING (1102644.241452107 310566.5027531349, 1102646.181196737 310535.5862835445)",40
16719,16720,33.114870965687,331148.70965687,1,"LINESTRING (1102646.181196737 310535.5862835445, 1102651.423153125 310502.8889354517)",40
16720,16721,39.103948279771,391039.48279771,1,"LINESTRING (1102651.423153125 310502.8889354517, 1102658.338870768 310464.4013839506)",40
16721,16722,66.559925394289,665599.25394289,1,"LINESTRING (1102658.338870768 310464.4013839506, 1102673.601803409 310399.6150693796)",40
16722,16723,67.358473062249,673584.73062249,1,"LINESTRING (1102673.601803409 310399.6150693796, 1102693.672417434 310335.3162797648)",40
16723,15918,52.077752651425,520777.52651425,1,"LINESTRING (1102693.672417434 310335.3162797648, 1102707.52965434 310285.1159878676)",40
