id1,id2,power
21142.0,18967.0,-0.08639999999999998
21387.0,21460.0,0.0032
21460.0,21488.0,0.0016
21189.0,21202.0,0.0008
21320.0,21333.0,-0.0008
21333.0,21375.0,-0.0024000000000000002
21375.0,21407.0,0.0712
18985.0,18974.0,0.1288
18985.0,18995.0,-0.1296
18995.0,21035.0,-0.1328
18985.0,21039.0,0.0008
21387.0,21375.0,0.0736
17646.0,17651.0,-0.005600000000000001
17651.0,17652.0,-0.006400000000000001
20984.0,20987.0,-0.0008
21306.0,17651.0,-0.0008
17409.0,21958.0,0.0008
17409.0,17403.0,0.2016000000000005
17403.0,17398.0,0.2008000000000005
17398.0,21741.0,0.19920000000000052
17409.0,15511.0,-0.2024000000000005
15511.0,21879.0,0.0024000000000000002
21879.0,21880.0,0.0016
21635.0,21636.0,0.0008
21635.0,17779.0,-0.2216000000000005
17779.0,17778.0,-0.2224000000000005
17778.0,21569.0,0.0008
21635.0,17785.0,0.2208000000000005
17785.0,17786.0,0.21840000000000048
17786.0,17791.0,0.2168000000000005
17791.0,21772.0,0.0016
22020.0,17482.0,-0.0008
17482.0,22035.0,0.0056
21765.0,15512.0,-0.0008
15512.0,15511.0,0.2144000000000005
15511.0,17473.0,0.009600000000000001
17473.0,17482.0,0.0064
21897.0,17473.0,-0.0016
17473.0,21934.0,0.0016
15512.0,17791.0,-0.2152000000000005
21533.0,15787.0,-0.012800000000000002
15787.0,15788.0,-0.013600000000000003
15788.0,21553.0,0.0008
15787.0,21556.0,0.0008
21825.0,17398.0,-0.0016
21603.0,21681.0,-0.0008
21681.0,17786.0,-0.0016
21701.0,21738.0,0.0008
21701.0,21703.0,-0.0016
21703.0,17785.0,-0.0024000000000000002
21701.0,21706.0,0.0008
21834.0,21879.0,-0.0008
15788.0,17778.0,0.22320000000000048
17779.0,21588.0,0.0008
17403.0,21855.0,0.0008
22072.0,19006.0,-0.1344
19006.0,16511.0,-0.1352
22113.0,22126.0,-0.0008
22126.0,22148.0,-0.0016
22148.0,22174.0,-0.0024000000000000002
22174.0,18958.0,-0.004
18958.0,18960.0,-0.013600000000000003
18960.0,22149.0,-0.016800000000000002
22273.0,22245.0,-0.0008
22245.0,22259.0,0.0016
22245.0,22223.0,-0.0024000000000000002
22223.0,18960.0,-0.0032
22126.0,22103.0,0.0008
18958.0,18951.0,0.009600000000000003
22280.0,22283.0,-0.0008
22283.0,22295.0,0.0024000000000000002
22295.0,22316.0,0.0016
22283.0,22303.0,-0.0032
22293.0,22295.0,-0.0008
22418.0,22399.0,-0.0008
22399.0,22428.0,-0.005600000000000001
22481.0,22450.0,-0.0016
22514.0,22533.0,0.008000000000000002
20419.0,19067.0,-0.004
19067.0,20389.0,0.004
20389.0,20359.0,0.0024000000000000002
20359.0,20347.0,0.0008
20456.0,20419.0,-0.0016
20458.0,19067.0,0.008
22665.0,22701.0,-0.004
22701.0,22724.0,0.0008
22665.0,22745.0,0.0032
22745.0,22830.0,0.0016
22830.0,22831.0,0.0008
16097.0,17826.0,0.0248
17826.0,22676.0,0.0008
16097.0,22641.0,0.0008
16097.0,16094.0,-0.0312
16094.0,22604.0,0.0008
17826.0,22701.0,0.0048000000000000004
17826.0,17823.0,0.019200000000000002
17823.0,22813.0,0.018400000000000003
22813.0,22860.0,0.0032
22860.0,22876.0,0.0024000000000000002
22876.0,22894.0,0.0016
22824.0,22830.0,-0.0008
22570.0,16087.0,-0.0008
16087.0,16092.0,0.0328
16092.0,16094.0,0.032
22575.0,16087.0,-0.0016
22969.0,22931.0,0.19280000000000053
22996.0,23021.0,-0.0048000000000000004
23074.0,16907.0,-0.0008
16907.0,16908.0,0.048000000000000015
16908.0,16909.0,0.0016
16909.0,23219.0,0.0008
23106.0,23119.0,-0.0016
23119.0,23165.0,0.04480000000000002
23165.0,23226.0,0.04400000000000002
16907.0,23062.0,-0.04880000000000002
23179.0,16909.0,-0.0008
16908.0,23119.0,0.04640000000000002
23239.0,15666.0,-0.0008
15666.0,23278.0,-0.0016
15666.0,23287.0,0.0008
23362.0,17618.0,-0.0008
17618.0,17626.0,-0.0024000000000000002
17626.0,17631.0,-0.004
23337.0,17626.0,-0.0016
17618.0,23379.0,0.0016
23408.0,23393.0,0.0008
18117.0,18098.0,-0.0008
18098.0,18108.0,-0.06480000000000001
18108.0,23467.0,0.0016
23467.0,23438.0,0.0008
23482.0,18108.0,-0.0008
18098.0,23532.0,0.0008
17063.0,17064.0,-0.0008
17064.0,17070.0,-0.0024000000000000002
17070.0,23591.0,-0.0032
17064.0,23669.0,0.0008
17064.0,23633.0,0.0008
23614.0,17070.0,-0.0008
20493.0,20503.0,-0.0016
23747.0,23755.0,-0.0016
23755.0,23764.0,-0.0064
23764.0,23794.0,-0.008
23729.0,23705.0,0.004
23729.0,23755.0,-0.0048000000000000004
23810.0,17817.0,0.012800000000000002
17817.0,23833.0,0.0008
23848.0,17814.0,-0.010400000000000001
17814.0,17817.0,-0.012000000000000002
23852.0,17814.0,-0.0016
23896.0,23879.0,-0.0008
23920.0,23937.0,-0.0048000000000000004
23920.0,15951.0,0.004
24034.0,17348.0,-0.0008
17348.0,17360.0,-0.05440000000000001
17360.0,23961.0,-0.05680000000000001
17348.0,24057.0,0.0008
23943.0,23949.0,-0.0008
23949.0,23978.0,-0.0016
23978.0,17360.0,-0.0024000000000000002
24009.0,23978.0,-0.0008
24084.0,24070.0,-0.0016
24453.0,24561.0,0.0024000000000000002
24453.0,24407.0,-0.0032
24407.0,24470.0,-0.004
24470.0,24509.0,-0.0048000000000000004
24509.0,24562.0,0.0008
24210.0,24281.0,0.0008
24210.0,16156.0,-0.0024000000000000002
16156.0,16163.0,-0.004
