ID,X,Y,Voltage,Power,Cluster
17814.0,1125153.1577522808,316528.00986104674,0.997,0.0,31
17817.0,1125392.5986887235,316324.46975055593,0.997,0.0,31
23810.0,1125747.8175088249,316181.9880308336,0.997,1.419,31
23833.0,1125338.3692194105,316338.45754336554,0.997,0.553,31
23848.0,1124910.9538208628,316546.07093226106,0.997,0.193,31
23852.0,1125166.246801517,316599.3647269193,0.997,1.042,31
23879.0,1109337.0436789368,316443.9112159036,0.903,1.46,32
23896.0,1109189.2261746041,316593.2538335184,0.903,0.307,32
15951.0,1103758.26692825,316317.09922390105,0.915,0.087,33
23920.0,1103901.5579677413,316407.253056633,0.915,0.762,33
23937.0,1104364.0960126182,316689.6999651818,0.915,0.156,33
17348.0,1104538.9043164009,317364.9773365618,0.913,0.0,34
17360.0,1104937.8957506155,316925.6061901936,0.914,0.0,34
23943.0,1105908.0121406526,316294.1941189041,0.914,0.136,34
23949.0,1105296.2705073971,316602.8922437341,0.914,0.106,34
23961.0,1104768.6678007704,316743.9824763892,0.915,0.268,34
23978.0,1104958.2765072924,316899.44164020225,0.914,0.0,34
24009.0,1105149.9746848852,317091.1355661166,0.914,0.595,34
24034.0,1104545.2899715262,317268.23606936354,0.913,0.815,34
24057.0,1104147.9523634035,317622.32965545583,0.913,0.62,34
24070.0,1103093.25997524,316495.39118569804,0.915,0.611,35
24084.0,1102845.5263095766,316832.76859990804,0.915,1.114,35
16155.0,1092117.5140606784,317497.0092954271,0.995,0.0,36
16170.0,1092281.252327613,318602.068362967,0.995,0.0,36
16171.0,1092303.8345613263,318676.88416729984,0.995,0.0,36
16181.0,1092511.6128429729,319369.1301579393,0.995,0.0,36
16936.0,1092571.892060037,318054.7765824005,0.996,0.0,36
16947.0,1092336.7285700687,318600.9779437281,0.996,0.0,36
16156.0,1092118.9122349229,317548.4541001694,0.995,0.0,36
16163.0,1092115.9648029446,317958.84885820537,0.995,0.323,36
24114.0,1092628.6929833095,316944.4447659905,0.997,0.398,36
24134.0,1092247.7739584362,317091.2208848312,0.995,0.248,36
