id1,id2,Length,Loading,Cost,Geom
22367.0,22996.0,1010.685,-0.004,25990.492740669764,"LINESTRING (1126485.076563085 313931.6149651542, 1126500.203871013 313921.9614585498, 1126504.012521063 313941.4447047399, 1126536.426210902 313959.1769600687, 1126518.121246116 313664.7453569041, 1126518.121246116 313464.7453569041, 1126318.121246116 313264.7453569041, 1126209.850231445 313149.5393245475)"
22428.0,22533.0,1276.807,-0.006,21968.70263431788,"LINESTRING (1110418.666975129 313515.9351903625, 1110318.121246116 313664.7453569041, 1110118.121246116 313864.7453569041, 1109974.335049422 313975.4223952247, 1109804.668147467 313883.1360205424, 1109773.826949888 313880.0954835457, 1109742.792250676 313874.438639118, 1109713.409444904 313863.8194284386, 1109685.702708739 313851.0395199436, 1109657.706470276 313834.1722800091, 1109622.471571566 313812.3006449469, 1109582.592650196 313788.899277522, 1109545.544429724 313770.509434451, 1109548.720868667 313805.8542022559, 1109538.549171768 313816.582190015, 1109520.68454768 313815.6549891246, 1109523.22043903 313832.7919150137, 1109514.699951731 313858.5826625227, 1109553.826770382 313871.1239711329)"
16097.0,23021.0,804.775,0.006,8047.749136063707,"LINESTRING (1125764.80992684 314445.7920512384, 1125916.688415928 314506.0388476456, 1126105.276820075 314409.3617016266, 1126177.465035029 314346.6388658541, 1126167.47210905 314299.4956365327, 1126154.099703636 314283.9159660256, 1126145.303979262 314262.8817466616, 1126181.422935759 314222.4658152831, 1126169.885675001 314207.5788038308, 1126166.328988388 314194.4170971691, 1126167.215708878 314162.4078554959, 1126145.944066141 314153.8362309023, 1126158.76083231 314136.9822685113, 1126141.984239397 314059.2667378414)"
22813.0,23810.0,941.634,0.014,9416.34391233346,"LINESTRING (1126107.712277186 315426.9158546103, 1126092.153430406 315411.5457444363, 1126069.927434111 315408.2245097359, 1126055.910427508 315388.7134123936, 1126030.99879184 315390.9145099749, 1125979.566237738 315617.9901509644, 1125780.823542211 316076.4290334883, 1125757.938674696 316098.9305887532, 1125747.817508825 316181.9880308336)"
22969.0,23591.0,2079.518,0.004,21837.748656080934,"LINESTRING (1101763.544233496 314118.8339836033, 1101769.855504618 314128.4961053927, 1101782.938455741 314134.9977596914, 1101784.881612619 314151.740912053, 1101791.295234641 314159.1453413015, 1101781.529311049 314168.7839941275, 1101792.570872276 314185.8510111703, 1101845.967926404 314225.261835377, 1101898.458648262 314258.3773890903, 1102137.089294449 314339.6588832399, 1102129.624112464 314589.1011383468, 1102078.568067247 314783.1706723343, 1102000.153003452 315030.5583677107, 1101918.121246116 315264.7453569041, 1101878.396519478 315428.8965596603, 1101905.559414132 315662.4748420363, 1101887.851955198 315702.9954485468, 1101877.612129098 315747.4132674469, 1101874.282986609 315786.8008685977, 1101920.291090442 315778.4499677453, 1101941.240000177 315777.2227355399, 1101975.463150747 315817.8779756528)"
23226.0,24237.0,3284.302,0.043,34176.92766980074,"LINESTRING (1093597.493493583 315223.7529134919, 1093611.995436178 315207.6761267385, 1093715.428382496 315333.1462942288, 1093763.236420478 315531.7931230094, 1093854.083257417 315643.5423095851, 1093927.520284033 315831.421484961, 1093956.07345137 315979.1731131317, 1093940.066331411 316093.7679846464, 1093722.757722107 316518.838358176, 1093634.093532063 316692.9651084935, 1093505.177977428 317002.0908015954, 1093392.535272678 317228.1397591421, 1093199.99804519 317362.2622854684, 1093008.106270852 317484.4953413652, 1092831.624316428 317677.1280175002, 1092718.121246116 317664.7453569041, 1092686.77909841 317663.0076636318, 1092672.435779089 317602.2218878269, 1092652.88113039 317593.2886017077, 1092654.544966834 317578.5836763391, 1092669.493465479 317573.3253239665, 1092678.845153065 317534.5119890359)"
23278.0,18108.0,1225.573,0.067,12255.726870908753,"LINESTRING (1104376.152024484 314456.6340169309, 1104403.796035386 314485.8899042109, 1104409.157851181 314530.5062610904, 1104362.919764397 314541.184183703, 1104341.265558218 314552.6818604695, 1104380.509050313 314571.3308281391, 1104410.932278702 314597.0487201366, 1104431.598419619 314659.9105086076, 1104479.761314019 314728.0203540733, 1104608.011025789 314938.8540415425, 1104737.295668121 315146.3431078216, 1104753.633418846 315174.38696557, 1104769.482123553 315210.8884050297, 1104776.752116316 315254.8041723496, 1104825.208298981 315427.2641139497, 1104829.768785323 315458.3330944141, 1104840.421419681 315471.5059216935)"
18098.0,23961.0,1319.045,0.063,13890.680773674972,"LINESTRING (1105107.595696318 315666.4043800919, 1105128.753555153 315672.4234301954, 1105159.610687329 315679.4748142718, 1105136.762519641 315718.2974348039, 1105104.280440954 315748.195811284, 1105063.772423478 315765.5478812368, 1104918.121246116 315864.7453569041, 1104843.166823496 315936.6540781566, 1104797.162060294 316119.222200889, 1104805.162504023 316311.33364374, 1104816.130633092 316524.8089761836, 1104828.311161198 316576.9195429436, 1104843.793923754 316627.2681640527, 1104817.394622908 316648.0259591758, 1104821.782538034 316689.7927688902, 1104768.66780077 316743.9824763892)"
23577.0,15951.0,1386.345,-0.001,37455.384044847546,"LINESTRING (1103758.26692825 316317.0992239011, 1103767.510686769 316275.8120275124, 1103888.332532798 316132.0266865959, 1103904.074018669 316082.0590130025, 1103718.121246116 315864.7453569041, 1103518.121246116 315664.7453569041, 1103318.121246116 315464.7453569041, 1103146.074909639 315280.4244316023)"
23705.0,23879.0,1318.574,0.002,56956.67184019605,"LINESTRING (1110292.797184868 316129.4921612768, 1110306.746475172 316146.9359173634, 1110336.139407204 316180.2917162101, 1110337.898214977 316195.8534883228, 1110331.461214194 316268.6684922312, 1110345.685732413 316274.0439276311, 1110345.821738648 316295.4437483061, 1110118.121246116 316464.7453569041, 1109918.121246116 316464.7453569041, 1109718.121246116 316464.7453569041, 1109518.121246116 316464.7453569041, 1109349.936185787 316510.6791034116, 1109345.387473137 316495.8172515164, 1109342.041185939 316460.9979344774, 1109337.043678937 316443.9112159036)"
