X,Y,geometry,ID,Elevation,Slope,Land_cover,Protected_area,Road_dist,River_flow
1103918.1212461155,309464.74535690405,POINT (1103918.121246116 309464.7453569041),63,1070,0.1854875534772873,4,False,1276.4699497402396,
1104118.1212461155,309464.74535690405,POINT (1104118.121246116 309464.7453569041),64,1065,0.20297843217849731,1,False,1422.9074296707138,
1104318.1212461155,309464.74535690405,POINT (1104318.121246116 309464.7453569041),65,1061,0.17490379512310028,1,False,1572.864570680127,
1104518.1212461155,309464.74535690405,POINT (1104518.121246116 309464.7453569041),66,1055,0.18962539732456207,1,False,1704.966439399804,
1104718.1212461155,309464.74535690405,POINT (1104718.121246116 309464.7453569041),67,1048,0.21387435495853424,1,False,1839.317697016439,
1104918.1212461155,309464.74535690405,POINT (1104918.121246116 309464.7453569041),68,1045,0.1422785520553589,1,False,1976.3390653123172,
1117318.1212461155,309464.74535690405,POINT (1117318.121246116 309464.7453569041),69,1041,0.16251510381698608,1,False,762.6385098416132,
1117518.1212461155,309464.74535690405,POINT (1117518.121246116 309464.7453569041),70,1045,0.16448630392551422,1,False,567.6888428899498,
1117718.1212461155,309464.74535690405,POINT (1117718.121246116 309464.7453569041),71,1049,0.2699057161808014,1,False,378.05257305039424,
1117918.1212461155,309464.74535690405,POINT (1117918.121246116 309464.7453569041),72,1054,0.3605680763721466,1,False,208.7507452401484,
1118118.1212461155,309464.74535690405,POINT (1118118.121246116 309464.7453569041),73,1056,0.2100091576576233,1,False,155.6598833566664,
1118318.1212461155,309464.74535690405,POINT (1118318.121246116 309464.7453569041),74,1056,0.1614195555448532,1,False,111.04200369633519,
1096318.1212461155,309664.74535690405,POINT (1096318.121246116 309664.7453569041),75,1040,0.31541967391967773,4,False,971.9557993373063,
1096518.1212461155,309664.74535690405,POINT (1096518.121246116 309664.7453569041),76,1096,0.17153556644916534,4,False,1034.146266433169,
1096718.1212461155,309664.74535690405,POINT (1096718.121246116 309664.7453569041),77,1093,0.10166258364915848,4,False,850.8960637525421,
1096918.1212461155,309664.74535690405,POINT (1096918.121246116 309664.7453569041),78,1094,0.10370980203151703,4,False,677.1925296704601,
1097118.1212461155,309664.74535690405,POINT (1097118.121246116 309664.7453569041),79,1096,0.15159469842910767,4,False,516.2051829468717,
1097318.1212461155,309664.74535690405,POINT (1097318.121246116 309664.7453569041),80,1100,0.15549781918525696,4,False,381.26918498538373,
1097518.1212461155,309664.74535690405,POINT (1097518.121246116 309664.7453569041),81,1106,0.19220949709415436,4,False,289.6327071349896,
1099118.1212461155,309664.74535690405,POINT (1099118.121246116 309664.7453569041),82,1018,0.2109367698431015,1,False,863.6710539146553,
1099718.1212461155,309664.74535690405,POINT (1099718.121246116 309664.7453569041),83,1016,0.1578683704137802,4,False,1039.3106319538435,
1099918.1212461155,309664.74535690405,POINT (1099918.121246116 309664.7453569041),84,1047,0.20213066041469574,4,False,851.2360640880188,
1100118.1212461155,309664.74535690405,POINT (1100118.121246116 309664.7453569041),85,1099,0.22813434898853302,4,False,670.103785928587,
1100318.1212461155,309664.74535690405,POINT (1100318.121246116 309664.7453569041),86,1099,0.18671464920043945,4,False,503.46333632906106,
1100518.1212461155,309664.74535690405,POINT (1100518.121246116 309664.7453569041),87,1098,0.2966928482055664,4,False,371.3644815263747,
1100718.1212461155,309664.74535690405,POINT (1100718.121246116 309664.7453569041),88,1105,0.2504021227359772,1,False,310.59264637510586,
