X,Y,ID,Population,Elevation,Weight,geometry,Land_cover,Cluster,MV_Power,Substation,Type
1117718.1212461155,309264.74535690405,37.0,,1046,2.76513518661722,POINT (1117718.121246116 309264.7453569041),,,,,Standard
1117918.1212461155,309264.74535690405,38.0,,1052,1.7927967205250517,POINT (1117918.121246116 309264.7453569041),,,,,Standard
1096518.1212461155,309464.74535690405,39.0,,956,5.9012869377399495,POINT (1096518.121246116 309464.7453569041),,,,,Standard
1096718.1212461155,309464.74535690405,40.0,,1100,4.919284074552408,POINT (1096718.121246116 309464.7453569041),,,,,Standard
1096918.1212461155,309464.74535690405,41.0,,1100,3.9528472563652635,POINT (1096918.121246116 309464.7453569041),,,,,Standard
1097118.1212461155,309464.74535690405,42.0,,1102,3.0207806569597637,POINT (1097118.121246116 309464.7453569041),,,,,Standard
1097318.1212461155,309464.74535690405,43.0,,1106,2.1761016029865368,POINT (1097318.121246116 309464.7453569041),,,,,Standard
1097518.1212461155,309464.74535690405,44.0,,1085,1.5202506064383918,POINT (1097518.121246116 309464.7453569041),,,,,Standard
1100318.1212461155,309464.74535690405,45.0,,831,3.0386960081240777,POINT (1100318.121246116 309464.7453569041),,,,,Standard
1100518.1212461155,309464.74535690405,46.0,,911,2.125904788061954,POINT (1100518.121246116 309464.7453569041),,,,,Standard
1100718.1212461155,309464.74535690405,47.0,,1097,1.5726800027720411,POINT (1100718.121246116 309464.7453569041),,,,,Standard
1100918.1212461155,309464.74535690405,48.0,,1101,1.5,POINT (1100918.121246116 309464.7453569041),,,,,Standard
1101118.1212461155,309464.74535690405,49.0,,1101,1.5,POINT (1101118.121246116 309464.7453569041),,,,,Standard
1101318.1212461155,309464.74535690405,50.0,,1098,1.5,POINT (1101318.121246116 309464.7453569041),,,,,Standard
1101518.1212461155,309464.74535690405,51.0,,1095,1.5934348425786975,POINT (1101518.121246116 309464.7453569041),,,,,Standard
1101718.1212461155,309464.74535690405,52.0,,1093,2.1893600818293018,POINT (1101718.121246116 309464.7453569041),,,,,Standard
1101918.1212461155,309464.74535690405,53.0,,1088,2.8858957610605813,POINT (1101918.121246116 309464.7453569041),,,,,Standard
1102118.1212461155,309464.74535690405,54.0,,1083,3.6991642462348686,POINT (1102118.121246116 309464.7453569041),,,,,Standard
1102318.1212461155,309464.74535690405,55.0,,1077,4.184103081037907,POINT (1102318.121246116 309464.7453569041),,,,,Standard
1102518.1212461155,309464.74535690405,56.0,,1072,4.500841818773292,POINT (1102518.121246116 309464.7453569041),,,,,Standard
1102718.1212461155,309464.74535690405,57.0,,1068,4.896797413574589,POINT (1102718.121246116 309464.7453569041),,,,,Standard
1102918.1212461155,309464.74535690405,58.0,,1069,5.22921255702334,POINT (1102918.121246116 309464.7453569041),,,,,Standard
1103118.1212461155,309464.74535690405,59.0,,1071,5.575027222006537,POINT (1103118.121246116 309464.7453569041),,,,,Standard
1103318.1212461155,309464.74535690405,60.0,,1073,5.809022701537138,POINT (1103318.121246116 309464.7453569041),,,,,Standard
1103518.1212461155,309464.74535690405,61.0,,1076,6.005175618276873,POINT (1103518.121246116 309464.7453569041),,,,,Standard
1103718.1212461155,309464.74535690405,62.0,,1073,6.0044176351952565,POINT (1103718.121246116 309464.7453569041),,,,,Standard
1103918.1212461155,309464.74535690405,63.0,,1070,6.003219425621962,POINT (1103918.121246116 309464.7453569041),,,,,Standard
1104118.1212461155,309464.74535690405,64.0,,1065,6.003523541326839,POINT (1104118.121246116 309464.7453569041),,,,,Standard
1104318.1212461155,309464.74535690405,65.0,,1061,6.003035449485902,POINT (1104318.121246116 309464.7453569041),,,,,Standard
1104518.1212461155,309464.74535690405,66.0,,1055,6.0032913624145445,POINT (1104518.121246116 309464.7453569041),,,,,Standard
1104718.1212461155,309464.74535690405,67.0,,1048,6.0037130364562925,POINT (1104718.121246116 309464.7453569041),,,,,Standard
1104918.1212461155,309464.74535690405,68.0,,1045,6.002468541272807,POINT (1104918.121246116 309464.7453569041),,,,,Standard
1117318.1212461155,309464.74535690405,69.0,,1041,4.816012690495484,POINT (1117318.121246116 309464.7453569041),,,,,Standard
1117518.1212461155,309464.74535690405,70.0,,1045,3.8412986109483613,POINT (1117518.121246116 309464.7453569041),,,,,Standard
1117718.1212461155,309464.74535690405,71.0,,1049,2.8949509296551366,POINT (1117718.121246116 309464.7453569041),,,,,Standard
1117918.1212461155,309464.74535690405,72.0,,1054,2.0500214553613194,POINT (1117918.121246116 309464.7453569041),,,,,Standard
1118118.1212461155,309464.74535690405,73.0,,1056,1.7819452280311123,POINT (1118118.121246116 309464.7453569041),,,,,Standard
1118318.1212461155,309464.74535690405,74.0,,1056,1.5580111220062047,POINT (1118318.121246116 309464.7453569041),,,,,Standard
1096318.1212461155,309664.74535690405,75.0,,1040,5.865259767899483,POINT (1096318.121246116 309664.7453569041),,,,,Standard
1096518.1212461155,309664.74535690405,76.0,,1096,6.0029769070692405,POINT (1096518.121246116 309664.7453569041),,,,,Standard
1096718.1212461155,309664.74535690405,77.0,,1093,5.256243549759827,POINT (1096718.121246116 309664.7453569041),,,,,Standard
1096918.1212461155,309664.74535690405,78.0,,1094,4.3877614181226905,POINT (1096918.121246116 309664.7453569041),,,,,Standard
1097118.1212461155,309664.74535690405,79.0,,1096,3.583656304098388,POINT (1097118.121246116 309664.7453569041),,,,,Standard
1097318.1212461155,309664.74535690405,80.0,,1100,2.9090441304218264,POINT (1097318.121246116 309664.7453569041),,,,,Standard
1097518.1212461155,309664.74535690405,81.0,,1106,2.4514998255161564,POINT (1097518.121246116 309664.7453569041),,,,,Standard
1099118.1212461155,309664.74535690405,82.0,,1018,5.322017213848835,POINT (1099118.121246116 309664.7453569041),,,,,Standard
1099718.1212461155,309664.74535690405,83.0,,1016,6.002739395701712,POINT (1099718.121246116 309664.7453569041),,,,,Standard
1099918.1212461155,309664.74535690405,84.0,,1047,5.259689119346512,POINT (1099918.121246116 309664.7453569041),,,,,Standard
1100118.1212461155,309664.74535690405,85.0,,1099,4.354480021129179,POINT (1100118.121246116 309664.7453569041),,,,,Standard
1100318.1212461155,309664.74535690405,86.0,,1099,3.5205574399002897,POINT (1100318.121246116 309664.7453569041),,,,,Standard
1100518.1212461155,309664.74535690405,87.0,,1098,2.86197694204896,POINT (1100518.121246116 309664.7453569041),,,,,Standard
1100718.1212461155,309664.74535690405,88.0,,1105,2.557311797700001,POINT (1100718.121246116 309664.7453569041),,,,,Standard
1100918.1212461155,309664.74535690405,89.0,,1111,2.34534088518438,POINT (1100918.121246116 309664.7453569041),,,,,Standard
1101118.1212461155,309664.74535690405,90.0,,1111,2.15684888723708,POINT (1101118.121246116 309664.7453569041),,,,,Standard
1101318.1212461155,309664.74535690405,91.0,,1107,1.7688437334356395,POINT (1101318.121246116 309664.7453569041),,,,,Standard
1101518.1212461155,309664.74535690405,92.0,,1100,1.5,POINT (1101518.121246116 309664.7453569041),,,,,Standard
1101718.1212461155,309664.74535690405,93.0,,1095,1.5,POINT (1101718.121246116 309664.7453569041),,,,,Standard
1101918.1212461155,309664.74535690405,94.0,,1088,2.3500310198006567,POINT (1101918.121246116 309664.7453569041),,,,,Standard
1102118.1212461155,309664.74535690405,95.0,,1082,2.9019198889757685,POINT (1102118.121246116 309664.7453569041),,,,,Standard
1102318.1212461155,309664.74535690405,96.0,,1079,3.2552037710211565,POINT (1102318.121246116 309664.7453569041),,,,,Standard
1102518.1212461155,309664.74535690405,97.0,,1075,3.565921959668229,POINT (1102518.121246116 309664.7453569041),,,,,Standard
1102718.1212461155,309664.74535690405,98.0,,1072,3.9953892893011647,POINT (1102718.121246116 309664.7453569041),,,,,Standard
1102918.1212461155,309664.74535690405,99.0,,1074,4.276990832400142,POINT (1102918.121246116 309664.7453569041),,,,,Standard
1103118.1212461155,309664.74535690405,100.0,,1076,4.613982931362698,POINT (1103118.121246116 309664.7453569041),,,,,Standard
1103318.1212461155,309664.74535690405,101.0,,1078,4.86821411769126,POINT (1103318.121246116 309664.7453569041),,,,,Standard
1103518.1212461155,309664.74535690405,102.0,,1079,5.341437865123749,POINT (1103518.121246116 309664.7453569041),,,,,Standard
1103718.1212461155,309664.74535690405,103.0,,1075,5.971364078958574,POINT (1103718.121246116 309664.7453569041),,,,,Standard
1103918.1212461155,309664.74535690405,104.0,,1070,6.0024340116636505,POINT (1103918.121246116 309664.7453569041),,,,,Standard
1104118.1212461155,309664.74535690405,105.0,,1064,6.00216578789423,POINT (1104118.121246116 309664.7453569041),,,,,Standard
1104318.1212461155,309664.74535690405,106.0,,1058,6.002706057615697,POINT (1104318.121246116 309664.7453569041),,,,,Standard
1104518.1212461155,309664.74535690405,107.0,,1053,6.0042665297168565,POINT (1104518.121246116 309664.7453569041),,,,,Standard
1104718.1212461155,309664.74535690405,108.0,,1050,6.004413218854268,POINT (1104718.121246116 309664.7453569041),,,,,Standard
1104918.1212461155,309664.74535690405,109.0,,1051,6.004183288352103,POINT (1104918.121246116 309664.7453569041),,,,,Standard
1105118.1212461155,309664.74535690405,110.0,,1041,6.004433025107487,POINT (1105118.121246116 309664.7453569041),,,,,Standard
1107918.1212461155,309664.74535690405,111.0,,950,6.00631718234111,POINT (1107918.121246116 309664.7453569041),,,,,Standard
1116518.1212461155,309664.74535690405,112.0,,1021,5.899580717403753,POINT (1116518.121246116 309664.7453569041),,,,,Standard
1116718.1212461155,309664.74535690405,113.0,,1025,6.0062617035844745,POINT (1116718.121246116 309664.7453569041),,,,,Standard
1116918.1212461155,309664.74535690405,114.0,,1031,6.004229400829573,POINT (1116918.121246116 309664.7453569041),,,,,Standard
1117118.1212461155,309664.74535690405,115.0,,1040,6.0020955362373485,POINT (1117118.121246116 309664.7453569041),,,,,Standard
1117318.1212461155,309664.74535690405,116.0,,1046,5.126923999873125,POINT (1117318.121246116 309664.7453569041),,,,,Standard
1117518.1212461155,309664.74535690405,117.0,,1051,4.250224682492278,POINT (1117518.121246116 309664.7453569041),,,,,Standard
1117718.1212461155,309664.74535690405,118.0,,1053,3.464860371509656,POINT (1117718.121246116 309664.7453569041),,,,,Standard
