X,Y,ID,Elevation,Weight
1103118.1212461155,310064.74535690405,232,1081,2.646137374030907
1103318.1212461155,310064.74535690405,233,1081,3.145588054055337
1103518.1212461155,310064.74535690405,234,1077,3.891658773774644
1103718.1212461155,310064.74535690405,235,1071,4.633489759316219
1103918.1212461155,310064.74535690405,236,1066,5.314225689971437
1104118.1212461155,310064.74535690405,237,1061,5.958316886725997
1104318.1212461155,310064.74535690405,238,1057,6.004126284420124
1104518.1212461155,310064.74535690405,239,1056,6.002492792902081
1104718.1212461155,310064.74535690405,240,1053,6.003378565677958
1104918.1212461155,310064.74535690405,241,1051,6.004834819004426
1105118.1212461155,310064.74535690405,242,1049,6.0041287556487255
1105318.1212461155,310064.74535690405,243,1043,6.003116022054554
1107318.1212461155,310064.74535690405,244,1028,6.005832752438163
1107518.1212461155,310064.74535690405,245,1034,6.005918441489334
1107718.1212461155,310064.74535690405,246,1040,6.003058618192537
1107918.1212461155,310064.74535690405,247,1036,5.8981360044521365
1108118.1212461155,310064.74535690405,248,1029,5.165731297389489
1108918.1212461155,310064.74535690405,249,1022,3.070885436410836
1109318.1212461155,310064.74535690405,250,1021,1.5
1109518.1212461155,310064.74535690405,251,1020,1.8385198948291879
1109718.1212461155,310064.74535690405,252,1019,2.76310851278335
1116318.1212461155,310064.74535690405,253,1027,3.7346507781734326
1116518.1212461155,310064.74535690405,254,1033,4.0190796034054665
1116718.1212461155,310064.74535690405,255,1035,4.570709176557956
1116918.1212461155,310064.74535690405,256,1037,5.288783148575209
1117118.1212461155,310064.74535690405,257,1043,6.004450658774841
1117318.1212461155,310064.74535690405,258,1048,6.0070272446711
1117518.1212461155,310064.74535690405,259,1053,5.572789701660469
1117718.1212461155,310064.74535690405,260,1053,4.76919933602644
1117918.1212461155,310064.74535690405,261,1050,4.086391633613416
1118118.1212461155,310064.74535690405,262,1047,3.6118833159113697
1118318.1212461155,310064.74535690405,263,1042,3.4741686097374025
1118518.1212461155,310064.74535690405,264,1042,3.486884804415178
1118718.1212461155,310064.74535690405,265,1047,3.06040596853266
1118918.1212461155,310064.74535690405,266,1045,3.075618166100127
1119118.1212461155,310064.74535690405,267,1040,3.52392428679327
1119318.1212461155,310064.74535690405,268,1042,4.232445039504015
1119518.1212461155,310064.74535690405,269,1049,4.495908675968282
1119718.1212461155,310064.74535690405,270,1052,3.707870092723245
1119918.1212461155,310064.74535690405,271,1055,3.1149031559767435
1120118.1212461155,310064.74535690405,272,1056,2.9001698197001584
1120318.1212461155,310064.74535690405,273,1055,3.1789832966496405
1120518.1212461155,310064.74535690405,274,1051,3.8074088510336317
1120718.1212461155,310064.74535690405,275,1047,4.6080425868030765
1120918.1212461155,310064.74535690405,276,1043,5.489494216483129
1094918.1212461155,310264.74535690405,277,1082,2.0241282273340344
1095118.1212461155,310264.74535690405,278,1104,1.6489063764521603
1095318.1212461155,310264.74535690405,279,1106,1.5
1095518.1212461155,310264.74535690405,280,1108,2.001701534057384
1095718.1212461155,310264.74535690405,281,1103,2.2167246492650214
1095918.1212461155,310264.74535690405,282,1095,2.3637679306672865
1096118.1212461155,310264.74535690405,283,1090,2.7673515211512925
1096318.1212461155,310264.74535690405,284,1086,3.5062343949617953
1096518.1212461155,310264.74535690405,285,1082,4.383126320078097
1096718.1212461155,310264.74535690405,286,1084,5.310275689943309
1096918.1212461155,310264.74535690405,287,1089,5.198758783862254
1097118.1212461155,310264.74535690405,288,1094,4.516616167033763
1097318.1212461155,310264.74535690405,289,1096,3.873632130169403
1097518.1212461155,310264.74535690405,290,1099,3.456612719600671
1097718.1212461155,310264.74535690405,291,1101,3.0989305679805828
1097918.1212461155,310264.74535690405,292,1107,2.4374785387954274
1098118.1212461155,310264.74535690405,293,1113,1.7140167539009843
1098318.1212461155,310264.74535690405,294,1120,1.5
1098518.1212461155,310264.74535690405,295,1121,1.5921112593965394
1098718.1212461155,310264.74535690405,296,1120,2.086302590816606
1098918.1212461155,310264.74535690405,297,1117,2.1811325383851576
1099118.1212461155,310264.74535690405,298,1115,2.673845516306894
1099318.1212461155,310264.74535690405,299,1113,3.30356500752365
1099518.1212461155,310264.74535690405,300,1108,4.104131039839344
1099718.1212461155,310264.74535690405,301,1107,4.769347852185714
1099918.1212461155,310264.74535690405,302,1109,5.557647796675779
1100118.1212461155,310264.74535690405,303,1114,5.502775340752535
1100318.1212461155,310264.74535690405,304,1116,5.210430082818273
1100518.1212461155,310264.74535690405,305,1118,5.144822775677116
1100718.1212461155,310264.74535690405,306,1122,5.316459084860127
1100918.1212461155,310264.74535690405,307,1123,5.292017678981097
1101118.1212461155,310264.74535690405,308,1119,4.594680918053948
1101318.1212461155,310264.74535690405,309,1114,3.8182478756493565
1101518.1212461155,310264.74535690405,310,1110,3.1542766767431423
1101718.1212461155,310264.74535690405,311,1104,2.5710253215469656
1101918.1212461155,310264.74535690405,312,1098,2.2477175588495673
1102118.1212461155,310264.74535690405,313,1097,1.9131417404879274
1102318.1212461155,310264.74535690405,314,1097,1.5839983933567199
1102518.1212461155,310264.74535690405,315,1092,1.5
1102718.1212461155,310264.74535690405,316,1087,1.5
1102918.1212461155,310264.74535690405,317,1083,1.5057019606084965
1103118.1212461155,310264.74535690405,318,1084,1.7347005548633045
1103318.1212461155,310264.74535690405,319,1081,2.478709656997954
1103518.1212461155,310264.74535690405,320,1075,3.2208477331419654
1103718.1212461155,310264.74535690405,321,1067,3.916765115430007
1103918.1212461155,310264.74535690405,322,1062,4.543084911388893
1104118.1212461155,310264.74535690405,323,1058,5.246400250031066
1104318.1212461155,310264.74535690405,324,1055,5.979154088752974
1104518.1212461155,310264.74535690405,325,1053,6.003396513510653
1104718.1212461155,310264.74535690405,326,1049,6.002645150206805
1104918.1212461155,310264.74535690405,327,1046,6.0030940049032155
1105118.1212461155,310264.74535690405,328,1043,6.003063135029882
1105318.1212461155,310264.74535690405,329,1039,6.003518926280479
1105518.1212461155,310264.74535690405,330,1037,6.003519828039694
1105718.1212461155,310264.74535690405,331,1031,6.004241598565654
1107118.1212461155,310264.74535690405,332,1027,6.003337204131186
1107318.1212461155,310264.74535690405,333,1028,6.0067210785747305
1107518.1212461155,310264.74535690405,334,1035,6.006100245614112
1107718.1212461155,310264.74535690405,335,1042,5.852654524906309
1107918.1212461155,310264.74535690405,336,1039,5.198717097508782
1108118.1212461155,310264.74535690405,337,1032,4.49474310006611
1108318.1212461155,310264.74535690405,338,1027,3.7553167033124106
1108518.1212461155,310264.74535690405,339,1025,3.227131722926368
1108718.1212461155,310264.74535690405,340,1026,3.0831548836951694
