Conn_param,Cost,ID1,ID2,Length,geometry
130.0,4759540.180258916,17482.0,22035.0,475.9540180258915,"LINESTRING (1099004.849610209 316552.3188403223, 1098981.014617496 316991.4358547534)"
131.0,4234542.585538538,21765.0,15512.0,423.45425855385383,"LINESTRING (1098651.239356366 315392.063856562, 1098867.500581936 315620.0915468009)"
132.0,5456835.790885159,15512.0,15511.0,545.6835790885159,"LINESTRING (1098867.500581936 315620.0915468009, 1099318.656191174 315927.0287843589)"
133.0,404377.91338856996,15511.0,17473.0,40.437791338857,"LINESTRING (1099318.656191174 315927.0287843589, 1099296.340814102 315960.7517574559)"
134.0,6714680.073122831,17473.0,17482.0,671.4680073122829,"LINESTRING (1099296.340814102 315960.7517574559, 1099004.849610209 316552.3188403223)"
135.0,4779024.226307669,21897.0,17473.0,477.9024226307668,"LINESTRING (1098897.662485658 315920.1586471987, 1099296.340814102 315960.7517574559)"
136.0,1447258.942678284,17473.0,21934.0,144.72589426782838,"LINESTRING (1099296.340814102 315960.7517574559, 1099401.171516666 316027.1584863084)"
137.0,1789979.09712102,15512.0,17791.0,178.997909712102,"LINESTRING (1098867.500581936 315620.0915468009, 1098917.102386666 315449.8005989395)"
138.0,4641462.097617601,21533.0,15787.0,464.14620976176013,"LINESTRING (1098843.234215638 312647.1283627526, 1098827.482016962 313072.0344730221)"
139.0,1953411.6342642698,15787.0,15788.0,195.341163426427,"LINESTRING (1098827.482016962 313072.0344730221, 1098811.673412345 313266.7349048369)"
140.0,7057463.006663248,15788.0,21553.0,705.7463006663247,"LINESTRING (1098811.673412345 313266.7349048369, 1099306.674989182 313043.9416919266)"
141.0,593491.0379568579,15787.0,21556.0,59.3491037956858,"LINESTRING (1098827.482016962 313072.0344730221, 1098777.325524332 313103.7621008629)"
142.0,949737.7620081706,21825.0,17398.0,94.97377620081706,"LINESTRING (1100238.76153934 315689.710361429, 1100200.206691598 315614.1717366517)"
143.0,8278590.212912991,21603.0,21681.0,827.8590212912991,"LINESTRING (1098859.877522723 314198.6169048364, 1098776.642939967 314744.3447013304)"
144.0,2872756.052059719,21681.0,17786.0,287.2756052059719,"LINESTRING (1098776.642939967 314744.3447013304, 1098908.245450084 314885.4076848623)"
145.0,3799011.920860939,21701.0,21738.0,379.901192086094,"LINESTRING (1099313.30664876 314918.5805879447, 1099287.666822376 315274.6219684557)"
146.0,1356664.768448982,21701.0,21703.0,135.6664768448982,"LINESTRING (1099313.30664876 314918.5805879447, 1099177.698662279 314922.563921007)"
147.0,3399673.7456323486,21703.0,17785.0,339.96737456323484,"LINESTRING (1099177.698662279 314922.563921007, 1098921.745689381 314805.5508987871)"
148.0,5528513.042242308,21701.0,21706.0,552.8513042242307,"LINESTRING (1099313.30664876 314918.5805879447, 1099698.425182328 314935.9244982244)"
149.0,3207509.5740323886,21834.0,21879.0,320.75095740323883,"LINESTRING (1099204.262115547 315709.0943441968, 1099343.036615 315871.463776431)"
150.0,3450481.46240548,15788.0,17778.0,345.048146240548,"LINESTRING (1098811.673412345 313266.7349048369, 1098889.164506191 313602.5930597216)"
151.0,4221163.977518074,17779.0,21588.0,422.1163977518075,"LINESTRING (1098907.8983838 313693.0968611758, 1098662.05405028 313870.0387693723)"
152.0,663423.3131705372,17403.0,21855.0,66.34233131705372,"LINESTRING (1099856.744131839 315839.5025757953, 1099822.433598136 315782.7214856189)"
153.0,6575876.848873128,22072.0,19006.0,657.5876848873128,"LINESTRING (1105010.543312505 312586.5474828924, 1104486.206323667 312720.3157824277)"
154.0,6387475.849385481,19006.0,16511.0,638.7475849385479,"LINESTRING (1104486.206323667 312720.3157824277, 1104044.774613402 312559.2305959784)"
155.0,1335470.0880411193,22113.0,22126.0,133.54700880411193,"LINESTRING (1108500.732510307 312792.6256745227, 1108561.020292085 312900.5474132023)"
156.0,3044520.1764266994,22126.0,22148.0,304.45201764266994,"LINESTRING (1108561.020292085 312900.5474132023, 1108687.183728614 313102.5656554461)"
157.0,7132825.080105115,22148.0,22174.0,713.2825080105114,"LINESTRING (1108687.183728614 313102.5656554461, 1108238.701323503 313273.305333387)"
158.0,1008292.5459396061,22174.0,18958.0,100.82925459396063,"LINESTRING (1108238.701323503 313273.305333387, 1108221.411596646 313361.3356556417)"
159.0,1386706.9181221998,18958.0,18960.0,138.67069181222,"LINESTRING (1108221.411596646 313361.3356556417, 1108086.491355699 313329.3067666247)"
160.0,5608721.009594629,18960.0,22149.0,560.8721009594628,"LINESTRING (1108086.491355699 313329.3067666247, 1107868.580053184 313100.2628719006)"
161.0,4322390.536538056,22273.0,22245.0,432.2390536538056,"LINESTRING (1107746.777873411 314201.2784398386, 1107563.068931157 313891.4146948039)"
162.0,2055232.692912927,22245.0,22259.0,205.5232692912927,"LINESTRING (1107563.068931157 313891.4146948039, 1107464.545717919 314030.3414202645)"
163.0,4378551.02300125,22245.0,22223.0,437.85510230012494,"LINESTRING (1107563.068931157 313891.4146948039, 1107823.958476833 313567.3943046017)"
164.0,4280457.885711906,22223.0,18960.0,428.04578857119054,"LINESTRING (1107823.958476833 313567.3943046017, 1108086.491355699 313329.3067666247)"
165.0,5188603.789861528,22126.0,22103.0,518.8603789861529,"LINESTRING (1108561.020292085 312900.5474132023, 1108953.177584096 312622.376839346)"
166.0,5275085.15876867,18958.0,18951.0,527.508515876867,"LINESTRING (1108221.411596646 313361.3356556417, 1108729.555679478 313501.4512209331)"
167.0,1646830.7340707094,22280.0,22283.0,164.68307340707094,"LINESTRING (1100345.688850195 312798.0648296634, 1100368.590497291 312954.7879363149)"
168.0,2468970.827198175,22283.0,22295.0,246.8970827198175,"LINESTRING (1100368.590497291 312954.7879363149, 1100148.451004049 313056.5380737126)"
169.0,6004661.66549866,22295.0,22316.0,600.4661665498661,"LINESTRING (1100148.451004049 313056.5380737126, 1099821.224676739 313323.1743464423)"
170.0,2296691.825664282,22283.0,22303.0,229.66918256642816,"LINESTRING (1100368.590497291 312954.7879363149, 1100457.385675702 313145.11077581)"
171.0,763330.8629439726,22293.0,22295.0,76.33308629439726,"LINESTRING (1100086.523053518 313011.9099547025, 1100148.451004049 313056.5380737126)"
172.0,8592401.974070055,22418.0,22399.0,859.2401974070056,"LINESTRING (1111147.763774574 313359.6298404502, 1110730.402884976 313162.8476682669)"
173.0,5683680.334092593,22399.0,22428.0,568.3680334092593,"LINESTRING (1110730.402884976 313162.8476682669, 1110418.666975129 313515.9351903625)"
174.0,6455545.50217978,22481.0,22450.0,645.554550217978,"LINESTRING (1100835.043369175 313672.2128855938, 1100974.582129113 313228.7726687347)"
175.0,4693985.119552048,22514.0,22533.0,469.39851195520475,"LINESTRING (1109328.697471645 313624.4925792633, 1109553.826770382 313871.1239711329)"
176.0,2443673.064246201,20419.0,19067.0,244.36730642462015,"LINESTRING (1099260.653965447 310628.3789478405, 1099082.873558374 310720.9797961085)"
177.0,3505611.877499853,19067.0,20389.0,350.56118774998527,"LINESTRING (1099082.873558374 310720.9797961085, 1098891.58199032 310481.1490144667)"
178.0,9549047.716992788,20389.0,20359.0,954.9047716992789,"LINESTRING (1098891.58199032 310481.1490144667, 1099024.89072378 309860.4722919594)"
179.0,3612280.1441422477,20359.0,20347.0,361.2280144142248,"LINESTRING (1099024.89072378 309860.4722919594, 1099245.56408601 309773.4680717562)"
