,Cost,ID1,ID2,Length,geometry,Type,C1,C2
0,23117.808883200916,20172,22450,655.0121465965751,"LINESTRING (1101384.071998439 312797.2694751563, 1101318.121246116 312864.7453569041, 1101118.121246116 313064.7453569041, 1100966.10132314 313258.8595708937, 1100974.582129113 313228.7726687347)",C-C,1.0,18.0
0,14822.82297334435,20189,22931,1482.2822973344346,"LINESTRING (1102473.928624379 312836.6261095554, 1102459.482857837 312855.7165463924, 1102452.110564358 312895.5417700927, 1102395.473078706 313031.0590228387, 1102289.411830812 313238.0424352427, 1102191.730129561 313476.1292352377, 1102121.374129557 313665.7262962539, 1102102.241163145 313691.0620962805, 1102116.662235356 313775.0174610353, 1102137.86256372 313886.0582957305, 1102141.672199833 313935.8933601006, 1102123.004402617 313942.6178468835, 1102104.625672159 313960.6218767838, 1102072.726206463 313950.1159530579, 1102075.97616226 313933.2917629224, 1102092.206801267 313920.3345904016, 1102089.709926849 313898.5478295776, 1102067.561342496 313897.7195334627, 1102045.169643072 313879.6296249531, 1102020.340743313 313837.138134175, 1101986.322642531 313818.3873225586, 1101967.753127649 313808.8908083066)",C-C,1.0,21.0
0,21911.556935722332,20340,23239,989.8393270121427,"LINESTRING (1103995.699589294 313469.9894084687, 1103774.43550156 313446.3977335474, 1103718.121246116 313664.7453569041, 1103518.121246116 313864.7453569041, 1103480.265410516 314015.0912118442, 1103582.944133453 313998.9022121858)",C-C,1.0,24.0
0,21056.755384925553,20458,20751,1188.6900876666782,"LINESTRING (1099291.685765627 311044.0281445213, 1099369.916864048 311065.4049736859, 1099433.698875907 311136.0619127883, 1099486.650751903 311201.3925420426, 1099518.121246116 311464.7453569041, 1099318.121246116 311664.7453569041, 1099166.549855653 311836.4891188503, 1099190.604654484 311934.6126028949, 1099207.739738067 311937.6937940767, 1099235.338565707 311920.0848368964)",C-C,2.0,6.0
0,21948.94577628144,20503,20581,1944.1411168658935,"LINESTRING (1105369.653320279 311199.5169620451, 1105388.163728919 311186.1202363998, 1105656.526371226 311304.7648167376, 1105965.268724483 311370.4592238523, 1106167.476298045 311420.1802937055, 1106578.749208614 311562.3848892183, 1106779.827589013 311627.7012993547, 1106979.342649909 311568.590503226, 1106991.710740673 311545.6458325672, 1107010.798648427 311542.478323504, 1107014.244981653 311510.2432874353, 1107002.476261548 311452.7087320047, 1107028.072170248 311364.7992873319, 1107043.273612692 311350.0288401314)",C-C,3.0,4.0
0,21773.790543195108,20503,20885,1042.7299765153211,"LINESTRING (1105369.653320279 311199.5169620451, 1105388.163728919 311186.1202363998, 1105285.923696468 311406.5582877998, 1105318.121246116 311664.7453569041, 1105318.121246116 311864.7453569041, 1105393.777131579 312147.6990644021, 1105376.477679896 312131.3448771241)",C-C,3.0,9.0
0,23384.33234539594,20527,20669,1372.5403150684983,"LINESTRING (1108072.704908266 310951.2118267798, 1108086.711499099 310962.1956466783, 1108145.760441528 310930.372816136, 1108173.285597817 310920.7661352832, 1108297.351685368 310799.3941509193, 1108320.064052624 310794.7091823308, 1108341.83646739 310813.8657808069, 1108409.756705461 310943.9935737107, 1108518.121246116 311064.7453569041, 1108718.121246116 311264.7453569041, 1108993.171047675 311358.6685146076, 1108992.125952229 311377.0510073141, 1108952.840102009 311502.885828317)",C-C,4.0,5.0
0,74664.20375454926,16551,20901,4418.588116773326,"LINESTRING (1107389.690625315 311611.6782767023, 1107301.445200544 311652.5705281047, 1107255.203041687 311658.9715714325, 1107092.213344269 311681.5235061436, 1107118.121246116 311864.7453569041, 1107118.121246116 312064.7453569041, 1106987.494243982 312224.0646717771, 1106892.541773408 312338.6316600492, 1106884.000132689 312364.640938468, 1107008.45293204 312458.2939377532, 1107078.115603273 312515.4535498337, 1107086.37017462 312534.080724749, 1107103.942073177 312518.2423929003, 1107115.410644094 312536.8588450626, 1107203.674656441 312529.6245531346, 1107368.072921297 312603.5274560606, 1107383.829853024 312618.4792977455, 1107375.487315559 312653.8968389056, 1107398.734056767 312662.0750868078, 1107421.944694081 312658.6604279251, 1107487.86799076 312649.6056617025, 1107473.045909622 312706.7459038751, 1107491.153252503 312718.8877598921, 1107491.246809253 312770.4878554859, 1107480.438707484 312786.382907483, 1107451.918942872 312758.2459507773, 1107439.504587875 312788.0881348516, 1107405.119047388 312815.9776548182, 1107389.392178284 312842.3616112806, 1107410.193980889 312907.4349977755, 1107376.735724089 312948.7003316436, 1107348.916449292 313039.2380134623, 1107319.5452673 313082.8328090183, 1107300.978072174 313087.7624915828, 1107277.588845548 313108.743463865, 1107256.77697976 313094.1984893077, 1107242.094530744 313106.6772894299, 1107237.472948352 313119.7549924082, 1107229.762671859 313128.8013845354, 1107134.942886759 313103.0776543166, 1107073.194630999 313085.5321541615, 1107066.035795463 313109.6431633625, 1107055.281418673 313107.4166535501, 1107048.7277958 313103.2371931585, 1107045.820533324 313112.2329835489, 1107043.70704196 313122.6162978608, 1107036.721324345 313126.2878145258, 1107031.67431258 313132.7732957517, 1107041.298678401 313136.9797450692, 1107038.802740942 313144.1524408766, 1107037.39578281 313153.2569124541, 1107028.19440594 313154.3682134209, 1107028.122102712 313149.3499955083, 1107019.89759467 313151.0163536386, 1107011.41349943 313146.7169585956, 1107005.827156438 313138.8498634365, 1106998.639078409 313142.5996020167, 1106996.828174231 313150.4089442557, 1106987.065361226 313148.9141254526, 1106987.067116656 313143.3865929511, 1106990.510219513 313131.0231563365, 1106990.998580507 313115.2388673397, 1106992.692850889 313106.6906735485, 1106999.267790189 313095.756982448, 1106989.564744486 313082.3654193371, 1106982.681111351 313086.048794177, 1106980.723396947 313081.5159409039, 1106967.230621769 313082.6684381717, 1106956.505574024 313077.8911920917, 1106948.154719685 313072.5964739458, 1106940.368540048 313071.1748065082, 1106907.920360052 313051.8583801243, 1106876.083077471 313038.7605493718, 1106894.549630331 313022.5216998196, 1106908.803362785 313013.1634811804, 1106910.98812914 312992.533086509, 1106899.223434044 312993.2033052412, 1106879.434145412 312997.9746071013, 1106862.691212247 313001.1612799975, 1106767.756329898 312922.2663527739, 1106731.044240173 312896.2111336107, 1106697.867670407 312882.5323073972, 1106666.429909444 312873.2359736445, 1106603.956463783 312854.7196975559, 1106510.055350612 312826.7676754405, 1106451.749764244 312809.5368588825, 1106387.455828132 312788.1177897865, 1106312.629953887 312763.5408882442, 1106247.820787658 312742.249859785, 1106192.817744242 312723.2478365481, 1106131.541830651 312698.8649693544, 1106082.827802901 312677.8170702932, 1106046.287550222 312663.043287935, 1106005.395197361 312650.3804425514, 1105918.121246116 312464.7453569041, 1105886.42114318 312358.4024115715)",C-C,4.0,9.0
0,15869.218705394871,16551,20953,914.3559794483249,"LINESTRING (1107389.690625315 311611.6782767023, 1107301.445200544 311652.5705281047, 1107255.203041687 311658.9715714325, 1107092.213344269 311681.5235061436, 1107118.121246116 311864.7453569041, 1107118.121246116 312064.7453569041, 1106987.494243982 312224.0646717771, 1107000.290350328 312231.5048000381)",C-C,4.0,11.0
0,69772.34328592951,20527,22103,2886.7947550784584,"LINESTRING (1108072.704908266 310951.2118267798, 1108086.711499099 310962.1956466783, 1108145.760441528 310930.372816136, 1108173.285597817 310920.7661352832, 1108297.351685368 310799.3941509193, 1108320.064052624 310794.7091823308, 1108341.83646739 310813.8657808069, 1108409.756705461 310943.9935737107, 1108518.121246116 311064.7453569041, 1108718.121246116 311264.7453569041, 1108993.171047675 311358.6685146076, 1108992.125952229 311377.0510073141, 1108952.840102009 311502.885828317, 1109023.484246007 311534.4857861322, 1109018.545422647 311716.4783046732, 1109098.033281704 311785.6790492851, 1109165.047686944 311797.7535080714, 1109192.622948558 311813.4034273998, 1109174.324243867 311845.1996518053, 1109150.468688068 311869.2670785662, 1109159.501001176 311892.2728706643, 1109194.200861905 311905.4137061076, 1109168.825787269 311953.0434155136, 1109168.226148426 311976.2978318188, 1109136.280000635 312077.5387238227, 1109129.655882228 312104.0256430117, 1109105.743431637 312111.1724353923, 1109083.130644228 312114.4402450032, 1109065.128061788 312123.9173450893, 1109000.59819519 312147.6431149401, 1108918.121246116 312264.7453569041, 1108918.121246116 312464.7453569041, 1108891.578356116 312627.1968984106, 1108953.177584096 312622.376839346)",C-C,4.0,14.0
