ID1,ID2,Length
16571.0,16579.0,441556.02944016096
15908.0,19540.0,134799.2451315796
18085.0,20189.0,765628.0801753188
20189.0,20151.0,97412.04900769294
20151.0,20192.0,409106.0662238489
20133.0,19032.0,133240.50966361878
19032.0,20189.0,343247.3378272547
20007.0,20151.0,612938.4799086504
20007.0,19950.0,356883.78109567147
16680.0,19048.0,158210.22069646002
19117.0,19123.0,449362.16569759214
19123.0,19150.0,166583.99049439194
19150.0,19167.0,284187.37271620845
19167.0,19180.0,65183.43684812885
19118.0,19123.0,34033.25798374564
19376.0,19388.0,79581.79874287434
19388.0,19393.0,430046.58885812486
19168.0,19167.0,18514.983923478434
19426.0,19547.0,475090.4944007245
19426.0,19388.0,71819.07197789695
19911.0,16828.0,285453.6773149971
16746.0,16757.0,475901.386160878
19149.0,19150.0,121911.65595611143
19022.0,20219.0,52208.55553630189
20219.0,20340.0,1000074.4429844632
19032.0,19034.0,363335.37429771293
19034.0,19037.0,388327.191215976
19034.0,20059.0,167126.59007312666
20993.0,21041.0,302687.34428193443
21041.0,17652.0,635392.6633081167
17652.0,18967.0,64192.613789166004
18967.0,18974.0,445813.8508485305
18974.0,21056.0,143926.89169421716
21056.0,20987.0,425245.7673193161
20987.0,20959.0,307906.1030394889
20993.0,20953.0,793267.5638347612
21387.0,21448.0,822685.4369998047
21448.0,21463.0,747799.4162316442
21463.0,21322.0,998519.58532913
21322.0,21189.0,580389.5480944855
21189.0,21142.0,150064.84111650148
21142.0,18967.0,25151.335767891196
21387.0,21460.0,206225.5084533093
21460.0,21488.0,651153.0742951168
21189.0,21202.0,374165.8879525639
21320.0,21333.0,591012.8842746952
21333.0,21375.0,476924.8478330871
21375.0,21407.0,552493.3873602343
18985.0,18974.0,684621.310221562
18985.0,18995.0,491658.65784537594
18995.0,21035.0,509994.86291909625
18985.0,21039.0,109310.6683573998
21387.0,21375.0,50556.13385108839
17646.0,17651.0,353323.36463972396
17651.0,17652.0,86162.28169323999
20984.0,20987.0,287453.03548359685
21306.0,17651.0,408016.7959726042
17409.0,21958.0,180692.3180965081
17409.0,17403.0,336025.053709497
17403.0,17398.0,415612.31372478383
17398.0,21741.0,592312.9422443067
17409.0,15511.0,432456.20585576596
15511.0,21879.0,60678.45723153019
21879.0,21880.0,272141.3509598757
21635.0,21636.0,16295.11359207845
21635.0,17779.0,678003.4492232652
17779.0,17778.0,92422.37958379199
17778.0,21569.0,265154.92631698574
21635.0,17785.0,550982.6784691181
17785.0,17786.0,80989.89284689199
17786.0,17791.0,588479.1039547219
17791.0,21772.0,22560.68653759875
22020.0,17482.0,431232.15133800724
17482.0,22035.0,475954.0180258915
21765.0,15512.0,423454.2585538538
15512.0,15511.0,545683.579088516
15511.0,17473.0,40437.791338857
17473.0,17482.0,671468.0073122829
21897.0,17473.0,477902.4226307668
17473.0,21934.0,144725.89426782838
15512.0,17791.0,178997.909712102
21533.0,15787.0,464146.20976176
15787.0,15788.0,195341.163426427
15788.0,21553.0,705746.3006663247
15787.0,21556.0,59349.1037956858
21825.0,17398.0,94973.77620081707
