ID1,ID2,Cost
16746.0,16824.0,969099.43822421
19874.0,16571.0,6930927.912871943
16571.0,16579.0,4415560.29440161
15908.0,19540.0,1347992.4513157962
18085.0,20189.0,7656280.801753188
20189.0,20151.0,974120.4900769296
20151.0,20192.0,4091060.6622384912
20133.0,19032.0,1332405.0966361878
19032.0,20189.0,3432473.3782725474
20007.0,20151.0,6129384.799086505
20007.0,19950.0,3568837.810956715
16680.0,19048.0,1582102.2069646001
19117.0,19123.0,4493621.656975921
19123.0,19150.0,1665839.904943919
19150.0,19167.0,2841873.7271620845
19167.0,19180.0,651834.3684812883
19118.0,19123.0,340332.57983745635
19376.0,19388.0,795817.9874287434
19388.0,19393.0,4300465.88858125
19168.0,19167.0,185149.83923478433
19426.0,19547.0,4750904.944007246
19426.0,19388.0,718190.7197789694
19911.0,16828.0,2854536.773149972
16746.0,16757.0,4759013.86160878
19149.0,19150.0,1219116.5595611143
19022.0,20219.0,522085.5553630189
20219.0,20340.0,10000744.429844633
19032.0,19034.0,3633353.74297713
19034.0,19037.0,3883271.91215976
19034.0,20059.0,1671265.9007312662
20993.0,21041.0,3026873.4428193443
21041.0,17652.0,6353926.633081166
17652.0,18967.0,641926.13789166
18967.0,18974.0,4458138.508485305
18974.0,21056.0,1439268.916942172
21056.0,20987.0,4252457.67319316
20987.0,20959.0,3079061.0303948894
20993.0,20953.0,7932675.638347614
21387.0,21448.0,8226854.369998045
21448.0,21463.0,7477994.1623164425
21463.0,21322.0,9985195.853291295
21322.0,21189.0,5803895.480944852
21189.0,21142.0,1500648.4111650146
21142.0,18967.0,251513.357678912
21387.0,21460.0,2062255.0845330928
21460.0,21488.0,6511530.742951165
21189.0,21202.0,3741658.8795256387
21320.0,21333.0,5910128.8427469535
21333.0,21375.0,4769248.47833087
21375.0,21407.0,5524933.873602343
18985.0,18974.0,6846213.10221562
18985.0,18995.0,4916586.5784537615
18995.0,21035.0,5099948.629190961
18985.0,21039.0,1093106.6835739985
21387.0,21375.0,505561.3385108839
17646.0,17651.0,3533233.6463972395
17651.0,17652.0,861622.8169324
20984.0,20987.0,2874530.354835968
21306.0,17651.0,4080167.9597260416
17409.0,21958.0,1806923.1809650809
17409.0,17403.0,3360250.53709497
17403.0,17398.0,4156123.13724784
17398.0,21741.0,5923129.422443068
17409.0,15511.0,4324562.058557658
15511.0,21879.0,606784.5723153019
21879.0,21880.0,2721413.5095987576
21635.0,21636.0,162951.1359207845
21635.0,17779.0,6780034.49223265
17779.0,17778.0,924223.79583792
17778.0,21569.0,2651549.2631698577
21635.0,17785.0,5509826.784691181
17785.0,17786.0,809898.9284689198
17786.0,17791.0,5884791.039547221
17791.0,21772.0,225606.86537598755
22020.0,17482.0,4312321.513380073
17482.0,22035.0,4759540.180258917
21765.0,15512.0,4234542.585538538
15512.0,15511.0,5456835.790885159
15511.0,17473.0,404377.91338857
17473.0,17482.0,6714680.073122831
21897.0,17473.0,4779024.226307669
17473.0,21934.0,1447258.9426782841
15512.0,17791.0,1789979.09712102
21533.0,15787.0,4641462.097617601
