ID,MV_Power
22399.0,0.0016
22418.0,0.0008
22428.0,0.0008
22450.0,0.0016
22481.0,0.0016
22514.0,0.0008
22533.0,0.0016
19067.0,0.0
20347.0,0.0008
20359.0,0.0016
20389.0,0.0016
20419.0,0.0024000000000000002
20456.0,0.0016
20458.0,0.0008
16087.0,0.0
16094.0,0.0
16097.0,0.0
17826.0,0.0
16092.0,0.0008
17823.0,0.0008
22570.0,0.0008
22575.0,0.0016
22604.0,0.0008
22641.0,0.0008
22665.0,0.0008
22676.0,0.0008
22724.0,0.0008
22745.0,0.0016
22813.0,0.0008
22824.0,0.0008
22831.0,0.0008
22860.0,0.0008
22876.0,0.0008
22894.0,0.0016
22701.0,0.0
22830.0,0.0
22931.0,0.0016
22969.0,0.0016
22996.0,0.0008
23021.0,0.0008
16907.0,0.0
16908.0,0.0
16909.0,0.0
23062.0,0.0008
23074.0,0.0008
23106.0,0.0016
23165.0,0.0008
23179.0,0.0008
23219.0,0.0008
23226.0,0.0008
23119.0,0.0
15666.0,0.0
23239.0,0.0008
23278.0,0.0016
23287.0,0.0008
17618.0,0.0
17626.0,0.0
17631.0,0.0008
23337.0,0.0016
23362.0,0.0008
23379.0,0.0016
23393.0,0.0008
23408.0,0.0008
18098.0,0.0
18108.0,0.0
18117.0,0.0008
23438.0,0.0008
23467.0,0.0008
23482.0,0.0008
23532.0,0.0008
23577.0,0.0008
17064.0,0.0
17070.0,0.0
17063.0,0.0008
23591.0,0.0008
23614.0,0.0008
23633.0,0.0008
23669.0,0.0008
20493.0,0.0016
20503.0,0.0008
23705.0,0.0016
23729.0,0.0008
23747.0,0.0016
23764.0,0.0016
23794.0,0.0008
23755.0,0.0
17814.0,0.0
17817.0,0.0
23810.0,0.0016
23833.0,0.0008
23848.0,0.0008
23852.0,0.0016
23879.0,0.0016
23896.0,0.0008
15951.0,0.0008
23920.0,0.0008
23937.0,0.0008
17348.0,0.0
17360.0,0.0
23943.0,0.0008
23949.0,0.0008
23961.0,0.0008
23978.0,0.0
24009.0,0.0008
24034.0,0.0008
24057.0,0.0008
24070.0,0.0008
24084.0,0.0016
16155.0,0.0
16170.0,0.0
16171.0,0.0
16181.0,0.0
16936.0,0.0
16947.0,0.0
16156.0,0.0
16163.0,0.0008
24114.0,0.0008
24134.0,0.0008
24151.0,0.0008
24186.0,0.0008
24237.0,0.0008
24281.0,0.0008
24285.0,0.0008
24355.0,0.0008
24371.0,0.0008
24396.0,0.0008
24407.0,0.0008
24453.0,0.0008
24470.0,0.0
24533.0,0.0008
24561.0,0.0024000000000000002
24562.0,0.0008
24563.0,0.0008
24629.0,0.0008
24657.0,0.0016
24670.0,0.0016
24729.0,0.0008
24167.0,0.0
24210.0,0.0
24359.0,0.0
24509.0,0.0
15858.0,0.0
15868.0,0.0
16065.0,0.0
16067.0,0.0
15852.0,0.0008
24757.0,0.0008
24779.0,0.0008
24800.0,0.0008
24824.0,0.0008
24855.0,0.0008
24894.0,0.0008
24896.0,0.0008
24933.0,0.0008
24940.0,0.0008
24957.0,0.0008
24980.0,0.0016
25000.0,0.0008
25022.0,0.0008
25028.0,0.0008
25019.0,0.0
16546.0,0.0
16551.0,0.0008
20509.0,0.0008
20527.0,0.0008
20573.0,0.0008
20577.0,0.0008
20581.0,0.0016
17858.0,0.0016
25080.0,0.0016
25090.0,0.0008
25091.0,0.0008
25122.0,0.0016
25190.0,0.0016
25241.0,0.0008
25274.0,0.0008
25244.0,0.0
25287.0,0.0008
25300.0,0.0008
25316.0,0.0008
25325.0,0.0008
25338.0,0.0008
17099.0,0.0
17123.0,0.0008
25353.0,0.0016
25410.0,0.0008
25423.0,0.0008
25441.0,0.0016
25458.0,0.0008
25479.0,0.0016
25492.0,0.0008
25502.0,0.0008
25521.0,0.0008
15116.0,0.0
15107.0,0.0008
15132.0,0.0008
15190.0,0.0016
25531.0,0.0008
25582.0,0.0008
25628.0,0.0008
25647.0,0.0008
15789.0,0.0
16195.0,0.0
16202.0,0.0
25667.0,0.0016
25685.0,0.0008
25689.0,0.0008
25720.0,0.0008
25725.0,0.0008
25754.0,0.0016
25794.0,0.0008
25814.0,0.0008
25817.0,0.0016
25671.0,0.0
25739.0,0.0
20649.0,0.0008
20653.0,0.0008
20669.0,0.0008
20687.0,0.0008
20712.0,0.0008
20698.0,0.0
25829.0,0.0008
25839.0,0.0008
25850.0,0.0016
25868.0,0.0008
25894.0,0.0008
25903.0,0.0016
25926.0,0.0008
25937.0,0.0008
25946.0,0.0008
25906.0,0.0
25971.0,0.0008
25972.0,0.0008
16301.0,0.0
17136.0,0.0
17149.0,0.0
16310.0,0.0008
17297.0,0.0
26004.0,0.0008
26055.0,0.0008
26075.0,0.0008
26105.0,0.0008
26122.0,0.0008
18269.0,0.0016
15408.0,0.0
15409.0,0.0
26241.0,0.0008
26249.0,0.0016
26263.0,0.0008
26271.0,0.0008
26303.0,0.0008
26304.0,0.0008
26338.0,0.0016
26379.0,0.0008
18564.0,0.0016
26433.0,0.0008
20735.0,0.0008
20751.0,0.0016
26449.0,0.0008
26466.0,0.0008
26488.0,0.0008
26496.0,0.0008
20776.0,0.0008
20810.0,0.0016
20815.0,0.0008
20850.0,0.0016
20869.0,0.0008
20885.0,0.0008
20901.0,0.0016
